Trade_Name,Code,Classification,Exam,Red_Seal,Trade_Details,Trade_Link
Hazardous Materials Worker,253H,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/hazardous-materials-worker/
Heat and Frost Insulator,253A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/heat-and-frost-insulator/
Heavy Duty Equipment Technician,421A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/heavy-duty-equipment-technician/
Heavy Equipment Operator – Dozer,636C,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/heavy-equipment-operator-dozer/
Heavy Equipment Operator — Excavator,636B,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/heavy-equipment-operator-excavator/
Heavy Equipment Operator — Tractor Loader Backhoe,636A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/heavy-equipment-operator-tractor-loader-backhoe/
Hoisting Engineer — Mobile Crane Operator 1,339A,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/hoisting-engineer-mobile-crane-operator-1/
Hoisting Engineer — Mobile Crane Operator 2,339C,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/hoisting-engineer-mobile-crane-operator-2/
Hoisting Engineer — Tower Crane Operator,339B,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/hoisting-engineer-tower-crane-operator/
Horse Groom,600H,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/horse-groom/
Horse Harness Maker,219D,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/horse-harness-maker/
Horticultural Technician,441C,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/horticultural-technician/
Hydraulic/Pneumatic Mechanic,277Z,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/hydraulicpneumatic-mechanic/
Industrial Electrician,442A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/industrial-electrician/
Industrial Mechanic Millwright,433A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/industrial-mechanic-millwright/
